mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.598549461364746,0.11510632601004032,2.2403892993927004,0.021529455723277646,1,0.005,"{'svc__C': 1, 'svc__gamma': 0.005}",0.7996875,0.795,0.81125,0.81,0.7978125,0.80275,0.006612606331848287,25
2.135274648666382,0.0678298119878021,2.0123669147491454,0.009223317648473325,1,0.01,"{'svc__C': 1, 'svc__gamma': 0.01}",0.84,0.8353125,0.8509375,0.8515625,0.83875,0.8433125,0.0066632152524138104,24
1.6877395629882812,0.00881824840080187,1.7826264381408692,0.04133097962734443,1,0.02,"{'svc__C': 1, 'svc__gamma': 0.02}",0.884375,0.8725,0.885,0.8890625,0.87875,0.8819374999999999,0.0057499999999999765,21
1.5777662754058839,0.05267155351336527,1.5174879074096679,0.011380918315506625,1,0.05,"{'svc__C': 1, 'svc__gamma': 0.05}",0.93125,0.925625,0.93125,0.9340625,0.92375,0.9291874999999999,0.0038608613028701397,17
1.8515820026397705,0.029462521562404614,1.466327714920044,0.02283510815716943,1,0.1,"{'svc__C': 1, 'svc__gamma': 0.1}",0.95375,0.9515625,0.9540625,0.956875,0.948125,0.952875,0.0029141358067187057,11
1.6046808242797852,0.03651653677998716,1.700540542602539,0.013402926325537723,5,0.005,"{'svc__C': 5, 'svc__gamma': 0.005}",0.856875,0.8503125,0.864375,0.871875,0.8609375,0.8608750000000001,0.007222469279962332,23
1.3831612110137939,0.0187298389583192,1.4701027393341064,0.009511846877580485,5,0.01,"{'svc__C': 5, 'svc__gamma': 0.01}",0.8959375,0.89375,0.900625,0.9065625,0.8925,0.897875,0.005151607758748734,20
1.2662352085113526,0.00668615587608182,1.3020569801330566,0.015547317805069719,5,0.02,"{'svc__C': 5, 'svc__gamma': 0.02}",0.9278125,0.93,0.9303125,0.935,0.9259375,0.9298125,0.0030400966267538484,16
1.3611074447631837,0.009596147644846065,1.1858585834503175,0.01730735909732235,5,0.05,"{'svc__C': 5, 'svc__gamma': 0.05}",0.9525,0.9575,0.9621875,0.96375,0.95625,0.9584374999999999,0.004079292218020164,9
1.7372148036956787,0.010137184851455231,1.2829994201660155,0.017054795837644982,5,0.1,"{'svc__C': 5, 'svc__gamma': 0.1}",0.965,0.9684375,0.9725,0.9703125,0.9709375,0.9694375,0.0025723894534071087,4
